Content;Label
'Does anyone know of a good way (standard PC application/PD utility) to convert tif/img/tga files into LaserJet III format.  We would also like to do the same, converting to HPGL (HP plotter) files.  Please email any response.  Is this the correct group?  Thanks in advance.  Michael.';1
'Hi,  	I have a problem, I hope some of the gurus can help me solve.  	Background of the problem: 	I have a rectangular mesh in the uv domain, i.e  the mesh is a  	mapping of a 3d Bezier patch into 2d. The area in this domain 	which is inside a trimming loop had to be rendered. The trimming 	loop is a set of 2d Bezier curve segments. 	For the sake of notation: the mesh is made up of cells.  	My problem is this : 	The trimming area has to be split up into individual smaller 	cells bounded by the trimming curve segments. If a cell 	is wholly inside the area...then it is output as a whole , 	else it is trivially rejected.   	Does any body know how thiss can be done, or is there any algo.  	somewhere for doing this.  	Any help would be appreciated.  	Thanks,  	Ani.';1
'(Well, Ill email also, but this may apply to other people, so Ill post also.)    Your boss should be the person bring these problems to.  If he/she does not seem to take any action, keep going up higher and higher. Sexual harrassment does not need to be tolerated, and it can be an enormous emotional support to discuss this with someone and know that they are trying to do something about it.  If you feel you can not discuss this with your boss, perhaps your company has a personnel department that can work for you while preserving your privacy.  Most companies will want to deal with this problem because constant anxiety does seriously affect how effectively employees do their jobs.  It is unclear from your letter if you have done this or not.  It is not inconceivable that management remains ignorant of employee problems/strife even after eight years (its a miracle if they do notice).  Perhaps your manager did not bring to the attention of higher ups?  If the company indeed does seem to want to ignore the entire problem, there may be a state agency willing to fight with you.  (check with a lawyer, a womens resource center, etc to find out)  You may also want to discuss this with your paster, priest, husband, etc.  That is, someone you know will not be judgemental and that is supportive, comforting, etc.  This will bring a lot of healing.   This happens to a lot of people.  Honest.  I believe it may seem to be due to gross insensitivity because of the feelings you are going through.  People in offices tend to be more insensitive while working than they normally are (maybe its the hustle or stress or...) Ive had this happen to me a lot, often because they didnt realize my car was broken, etc.  Then they will come back and wonder why I didnt want to go (this would tend to make me stop being angry at being ignored and make me laugh).  Once, we went off without our boss, who was paying for the lunch :-)   Well, if you cant turn to the computer for support, what would we do?  (signs of the computer age :-)  In closing, please dont let the hateful actions of a single person harm you.  They are doing it because they are still the playground bully and enjoy seeing the hurt they cause.  And you should not accept the opinions of an imbecile that you are worthless - much wiser people hold you in great esteem.';3
'Hello,  Im writing a paper on the role of the catholic church in Poland after 1989.  Can anyone tell me more about this, or fill me in on recent books/articles( in english, german or french). Most important for me is the role of the  church concerning the abortion-law, religious education at schools, birth-control and the relation church-state(government). Thanx,';3
'';3
'Let me carry that a step further.  Most doctors would not claim to be  infallible.  Indeed, they would generally admit that they could conceivably be wrong, e.g. that in this case, a blood tranfusion might not turn out to  be necessary after all.  However, the doctors would have enough confidence and conviction to claim, out of genuine concern, that is IS necessary.  As fallible human beings, they must acknowledge the possibility that they are wrong.  However, they would also say that such doubts are not reasonable, and stand by their convictions.';3
'[insert deletion of Pauls and Aarons discourse on anger, ref Galatians 5:19-20]  Oh, but they definitely can be.  Please look at Colossians 3:5-10 and Ephesians 4:25-27.  Emotions can be controlled and God puts very strong emphasis on self-control, otherwise, why would he have Paul write to Timothy so much about making sure to teach self-control?   [insert deletion of remainder of paragraph]   Please, re-think and re-read for yourself, Joe.  Again, the issue is self-control especially over feelings and actions, for our actions stem from our feelings in many instances.  As for God giving in to his anger, that comes very soon.';3
':) No...I was one of the lucky ones. Very little acne as a teenager. I didnt have any luck with clearasil. Even though my skin gets oily it really only gets miserable pimples when its dry.   Frequent lukewarm water rinses on the face might help. Getting the scalp thing under control might help (that could be as simple as submerging under the bathwater till its softened and washing it out). Taking a one a day vitamin/mineral might help. Ive heard iodine causes trouble and that it   is used in fast food restaurants to sterilize equipment which might be where the belief that greasy foods cause acne came from. I notice grease  on my face, not immediately removed will cause acne (even from eating meat).  Keeping hair rinse, mousse, dip, and spray off the face will help. Warm water bath soaks or cloths on the face to soften the oil in the pores will help prevent blackheads. Body oil is hydrophilic, loves water and it softens and washes off when it has a chance. Thats why hair goes limp with oilyness.   Becoming convinced that the best thing to do with a whitehead is leave it alone will save him days of pimple misery. Any prying of black or whiteheads can cause infections, the red spots of pimples. Usually a whitehead will break naturally in a day and there wont be an infection afterwards.  Tell him that its normal to have some pimples but the cosmetic industry makes its money off of selling people on the idea that they are an incredible defect to be hidden at any cost (even that of causing more pimples).';2
'Yes, I remember that now.  Well, in that case, the cones are indeed color sensitive, contrary to what the original respondent had claimed. --  ---------------------------------------------------------------------------- Gordon Banks  N3JXP      | "Skepticism is the chastity of the intellect, and geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."';2
'I need advice with a situation which occurred between me and a physican which upset me.  I saw this doctor for a problem with recurring pain. He suggested medication and a course of treatment, and told me that I need to call him 7 days after I begin the medication so that he may monitor its effectiveness, as well as my general health.  I did exactly as he asked, and made the call (reaching his secretary). I explained to her that I was following up at the doctors request, and that I was worried because the pain episodes were becoming more frequent and the medication did not seem effective.  The doctor called me back, and his first words were, "Whatever you want, youd better make it quick.  Im very busy and dont have time to chit- chat with you!"  I told him I was simply following his instructions to call on the 7th day to status him, and that I was feeling worse.  I  then asked if perhaps there was a better time for us to talk when he had more time.  He responded, "Just spit it out now because no time is a good time."  (Said in a raised voice.)  I started to feel upset and tried to explain quickly what was going on with my condition but my nervousness interfered with my choice of words and I kind of stuttered and then said "well, never mind" and he said hell talk to various colleagues about other medications and hell call me some other time.  This doctor called me that evening and said because I didnt express myself well, he was confused about what I wanted.  At this point I was pretty upset and I told him (in an amazingly polite voice considering how angry I felt) that his earlier manner had hurt my feelings.  He told me that he just doesnt have time to "rap with patients" and thought that was what I wanted.  I told him that to assume I was calling to "rap" was insulting, and said again that I was just following through on his orders.  He responded that he resented the implication that he  felt I was making that he was not interested in learning about what his patients have to say about their condition status.  He then gave me this apology: "I am sorry that there was a miscommunication and you mistakenly thought I was insulting.  I am not trying to insult you but I am not that knowledgeable about pain, and I dont have a lot of time to deal with that."  He then told me to call him the next day for further instructions on how do deal with my pain and medication.  I am still upset and have not yet called.  My questions: (1) Should I continue to have this doctor manage my care? (2) Since I am in pain off and on, I realize that this may cause me to be more anxietous so am I perhaps over-reacting or overly sensitive? If this doctor refers me to his colleague who knows more about the type of pain I have, he still wants me to status him on my condition but now I am afraid to call him.';2
